ID_Account;EconomicActivity;ID_Customer;Nperiods;minStartDate;minStartDate_Year;CAE
898912510001;IND TRANSF;8989125;11;29.12.2009;2009;24230
898912515001;IND TRANSF;8989125;38;28.12.2009;2009;24230
898912540006;IND TRANSF;8989125;11;06.10.2009;2009;24230
898912540007;IND TRANSF;8989125;11;06.10.2009;2009;24230
898912540008;IND TRANSF;8989125;38;28.10.2009;2009;24230
898912540009;IND TRANSF;8989125;38;29.12.2009;2009;24230
906513570002;CONSTR;9065135;3;20.04.2009;2009;45201
906513570003;CONSTR;9065135;5;17.12.2009;2009;45201
1012724270001;SERV;10127242;17;11.12.2009;2009;93040
1013985540002;COMER;10139855;1;02.07.2009;2009;51900
1047406372001;HOT TUR;10474063;9;10.09.2009;2009;55111
1121347570001;SERV;11213475;28;02.04.2009;2009;93040
1123158240004;IND TRANSF;11231582;11;30.06.2009;2009;36990
1128912140002;COMER;11289121;11;31.03.2009;2009;51900
1134676915001;IND TRANSF;11346769;9;16.08.2009;2009;23200
1135401572001;CONSTR;11354015;3;18.11.2009;2009;45203
1135799870004;SERV;11357998;34;06.10.2009;2009;93040
1160319672001;CONSTR;11603196;12;14.09.2009;2009;45203
1171303570002;IND TRANSF;11713035;15;16.09.2009;2009;15470
1218205040001;CONSTR;12182050;23;10.08.2009;2009;45203
1229973972002;SERV;12299739;11;22.10.2009;2009;93040
1233877270002;SERV;12338772;20;30.03.2009;2009;74140
1259313572001;SERV;12593135;80;11.08.2009;2009;93040
1270739515001;CONSTR;12707395;5;27.12.2009;2009;45201
1280488272001;COMER;12804882;32;20.08.2009;2009;51900
1293742640002;SERV;12937426;38;29.07.2009;2009;22120
1314546770001;SERV;13145467;27;18.03.2009;2009;80903
1314972170002;IND TRANSF;13149721;13;27.11.2009;2009;28110
1314972172001;IND TRANSF;13149721;17;14.10.2009;2009;28110
1333442015001;COMER;13334420;35;28.12.2009;2009;51900
1333442040001;COMER;13334420;38;29.12.2009;2009;51900
1334127472001;CONSTR;13341274;32;13.10.2009;2009;45201
1345784570001;COMER;13457845;10;24.11.2009;2009;51900
1368162810001;IND EXTRACT;13681628;6;13.10.2009;2009;11100
1368162870001;IND EXTRACT;13681628;11;29.10.2009;2009;11100
1373500740001;COMER;13735007;8;14.09.2009;2009;51900
1378716970001;COMER;13787169;11;26.11.2009;2009;51900
1393531015001;SERV;13935310;2;29.12.2009;2009;75220
1424071710001;CONSTR;14240717;20;22.11.2009;2009;45201
1424071772001;CONSTR;14240717;50;14.10.2009;2009;45201
1453319372001;IND TRANSF;14533193;3;13.08.2009;2009;20243
1473998670001;COMER;14739986;22;14.10.2009;2009;51900
1539545210001;COMER;15395452;1;29.12.2009;2009;51900
1541591315001;IND EXTRACT;15415913;13;13.10.2009;2009;11100
1578232710001;SERV;15782327;20;27.05.2009;2009;91120
1582162670001;IND TRANSF;15821626;12;30.11.2009;2009;36990
1677097170001;CONSTR;16770971;38;31.03.2009;2009;45201
1677843970001;SERV;16778439;10;09.06.2009;2009;62200
1691119470001;SERV;16911194;8;17.03.2009;2009;71240
1696053470001;HOT TUR;16960534;43;29.07.2009;2009;55111
1699896440001;IND EXTRACT;16998964;17;21.12.2009;2009;11100
1705225070002;SERV;17052250;1;03.11.2009;2009;75220
1710825270001;CONSTR;17108252;35;10.11.2009;2009;50100
1760418770001;IND TRANSF;17604187;46;16.01.2009;2009;36990
1767498840001;IND TRANSF;17674988;34;07.08.2009;2009;36990
1788292470001;IND EXTRACT;17882924;17;30.03.2009;2009;13203
1805959140001;COMER;18059591;11;06.02.2009;2009;51502
1836037340001;COMER;18360373;11;31.03.2009;2009;51900
